industry,city,investment_type,founded_year,no_of_founders,amount_in_inr,city_tier,market_size_category
Logistics,Mumbai,Series A,2012,2,11446822,Tier-1,Medium
E-commerce,Bangalore,Series B,2013,4,51920935,Tier-1,Large
AI,Mumbai,Series C,2014,4,507923138,Tier-1,Large
FinTech,Bangalore,Seed,2015,2,8052901,Tier-1,Large
E-commerce,Noida,Series C,2014,4,495646384,Tier-2,Large
EdTech,Bangalore,Seed,2018,1,5909547,Tier-1,Small
SaaS,Bangalore,Pre-Seed,2016,5,531491,Tier-1,Large
AI,Pune,Seed,2016,4,9561271,Tier-2,Large
E-commerce,Noida,Series A,2016,1,49142666,Tier-2,Large
FinTech,Chennai,Seed,2022,4,8913162,Tier-2,Large
FinTech,Noida,Series A,2021,1,19029010,Tier-2,Large
HealthTech,Bangalore,Seed,2020,1,3751811,Tier-1,Medium
HealthTech,Delhi,Seed,2016,2,4567391,Tier-1,Medium
AgriTech,Delhi,Series C,2011,3,566355564,Tier-1,Small
EdTech,Delhi,Seed,2017,1,4436899,Tier-1,Small
Logistics,Pune,Seed,2021,4,2696882,Tier-2,Medium
E-commerce,Hyderabad,Series A,2019,2,27957628,Tier-2,Large
E-commerce,Bangalore,Seed,2010,3,9438385,Tier-1,Large
Logistics,Noida,Series B,2015,5,149024002,Tier-2,Medium
AgriTech,Delhi,Pre-Seed,2021,1,612325,Tier-1,Small
SaaS,Pune,Seed,2020,1,2941065,Tier-2,Large
SaaS,Hyderabad,Pre-Seed,2012,3,1304202,Tier-2,Large
AgriTech,Delhi,Pre-Seed,2015,2,515616,Tier-1,Small
SaaS,Mumbai,Series A,2015,5,48651468,Tier-1,Large
HealthTech,Chennai,Seed,2017,3,6054707,Tier-2,Medium
E-commerce,Bangalore,Series B,2013,5,69520928,Tier-1,Large
AgriTech,Chennai,Seed,2021,3,3014227,Tier-2,Small
E-commerce,Chennai,Seed,2012,2,7638728,Tier-2,Large
Logistics,Mumbai,Series A,2011,4,25997641,Tier-1,Medium
FinTech,Mumbai,Series A,2021,3,11038674,Tier-1,Large
HealthTech,Mumbai,Series A,2015,4,44885774,Tier-1,Medium
AI,Hyderabad,Series A,2012,3,38461797,Tier-2,Large
HealthTech,Delhi,Pre-Seed,2022,1,1792772,Tier-1,Medium
AgriTech,Noida,Series A,2013,2,34300055,Tier-2,Small
AI,Bangalore,Seed,2018,1,7292900,Tier-1,Large
FinTech,Mumbai,Seed,2016,5,5281725,Tier-1,Large
AgriTech,Pune,Series B,2023,4,109262292,Tier-2,Small
EdTech,Bangalore,Seed,2010,5,2573216,Tier-1,Small
E-commerce,Noida,Series A,2023,4,44913012,Tier-2,Large
FinTech,Bangalore,Seed,2013,4,9048338,Tier-1,Large
E-commerce,Bangalore,Pre-Seed,2020,2,1791018,Tier-1,Large
SaaS,Mumbai,Seed,2017,5,3331212,Tier-1,Large
EdTech,Mumbai,Series A,2019,1,28737990,Tier-1,Small
EdTech,Delhi,Seed,2013,1,3011418,Tier-1,Small
FinTech,Noida,Seed,2010,4,4059287,Tier-2,Large
EdTech,Mumbai,Series B,2019,4,148110381,Tier-1,Small
AI,Mumbai,Pre-Seed,2022,4,1635982,Tier-1,Large
EdTech,Bangalore,Seed,2011,5,2953046,Tier-1,Small
E-commerce,Delhi,Series B,2014,5,151108658,Tier-1,Large
E-commerce,Chennai,Series B,2015,3,59618238,Tier-2,Large
AgriTech,Mumbai,Seed,2010,1,2919460,Tier-1,Small
E-commerce,Pune,Series B,2014,4,93440374,Tier-2,Large
AgriTech,Mumbai,Pre-Seed,2017,5,1946421,Tier-1,Small
E-commerce,Chennai,Pre-Seed,2017,3,1860130,Tier-2,Large
AI,Bangalore,Series B,2011,4,79276874,Tier-1,Large
Logistics,Noida,Series B,2018,1,81579572,Tier-2,Medium
AgriTech,Delhi,Pre-Seed,2011,5,1960716,Tier-1,Small
HealthTech,Bangalore,Pre-Seed,2013,4,1903985,Tier-1,Medium
SaaS,Noida,Pre-Seed,2019,2,1545809,Tier-2,Large
FinTech,Hyderabad,Seed,2013,2,9663535,Tier-2,Large
E-commerce,Mumbai,Series A,2013,1,23780786,Tier-1,Large
EdTech,Noida,Seed,2016,3,2834331,Tier-2,Small
Logistics,Pune,Seed,2017,3,9359142,Tier-2,Medium
E-commerce,Noida,Series A,2022,2,13010657,Tier-2,Large
EdTech,Hyderabad,Series B,2017,1,111366105,Tier-2,Small
SaaS,Mumbai,Pre-Seed,2013,2,1658499,Tier-1,Large
SaaS,Hyderabad,Series A,2022,4,45881710,Tier-2,Large
SaaS,Chennai,Series B,2013,5,85590368,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2015,3,537795,Tier-1,Small
E-commerce,Pune,Series B,2018,5,88456982,Tier-2,Large
SaaS,Mumbai,Series A,2014,1,39749255,Tier-1,Large
AI,Hyderabad,Pre-Seed,2011,1,574501,Tier-2,Large
AgriTech,Delhi,Pre-Seed,2022,2,981336,Tier-1,Small
EdTech,Hyderabad,Series A,2023,1,40735175,Tier-2,Small
EdTech,Mumbai,Seed,2018,5,9536288,Tier-1,Small
E-commerce,Mumbai,Seed,2021,3,9916097,Tier-1,Large
EdTech,Noida,Pre-Seed,2018,2,1257943,Tier-2,Small
EdTech,Delhi,Series A,2020,1,13273922,Tier-1,Small
SaaS,Bangalore,Seed,2010,4,8273537,Tier-1,Large
E-commerce,Delhi,Seed,2018,1,4692169,Tier-1,Large
SaaS,Bangalore,Seed,2016,3,3825988,Tier-1,Large
AgriTech,Pune,Series A,2010,2,21625389,Tier-2,Small
Logistics,Mumbai,Pre-Seed,2011,3,539920,Tier-1,Medium
AgriTech,Noida,Pre-Seed,2011,5,706126,Tier-2,Small
Logistics,Chennai,Pre-Seed,2017,5,963161,Tier-2,Medium
SaaS,Chennai,Pre-Seed,2010,1,532323,Tier-2,Large
AgriTech,Hyderabad,Pre-Seed,2020,4,1198487,Tier-2,Small
E-commerce,Delhi,Series A,2012,4,44453522,Tier-1,Large
FinTech,Delhi,Series A,2022,2,39096583,Tier-1,Large
SaaS,Chennai,Series A,2010,1,11770961,Tier-2,Large
Logistics,Bangalore,Seed,2014,3,4296705,Tier-1,Medium
AI,Delhi,Pre-Seed,2013,1,1108358,Tier-1,Large
Logistics,Bangalore,Series C,2012,4,762805193,Tier-1,Medium
AI,Bangalore,Pre-Seed,2017,3,1792755,Tier-1,Large
EdTech,Bangalore,Series A,2021,3,33288307,Tier-1,Small
AgriTech,Bangalore,Series B,2016,4,149942237,Tier-1,Small
AI,Noida,Series A,2013,2,18352518,Tier-2,Large
Logistics,Hyderabad,Pre-Seed,2010,1,664621,Tier-2,Medium
EdTech,Hyderabad,Seed,2016,4,9966537,Tier-2,Small
FinTech,Noida,Pre-Seed,2012,1,1239469,Tier-2,Large
E-commerce,Chennai,Series A,2014,1,30545224,Tier-2,Large
E-commerce,Hyderabad,Series A,2021,2,16399095,Tier-2,Large
E-commerce,Pune,Series A,2017,3,22653330,Tier-2,Large
AI,Noida,Pre-Seed,2018,4,611077,Tier-2,Large
FinTech,Delhi,Series B,2019,3,69603765,Tier-1,Large
AI,Pune,Series A,2020,5,10937842,Tier-2,Large
AgriTech,Noida,Pre-Seed,2019,4,1409294,Tier-2,Small
AI,Hyderabad,Seed,2016,1,2024379,Tier-2,Large
FinTech,Delhi,Series A,2015,4,32408066,Tier-1,Large
FinTech,Delhi,Seed,2014,3,2468468,Tier-1,Large
AgriTech,Bangalore,Pre-Seed,2014,5,1996131,Tier-1,Small
FinTech,Chennai,Pre-Seed,2022,2,1721279,Tier-2,Large
Logistics,Bangalore,Series A,2020,4,32254514,Tier-1,Medium
FinTech,Noida,Pre-Seed,2013,2,1121004,Tier-2,Large
E-commerce,Bangalore,Pre-Seed,2016,5,1862897,Tier-1,Large
Logistics,Pune,Series B,2010,3,94613427,Tier-2,Medium
Logistics,Hyderabad,Series A,2023,5,35355326,Tier-2,Medium
AgriTech,Pune,Series A,2021,4,22802229,Tier-2,Small
HealthTech,Hyderabad,Seed,2012,1,6494771,Tier-2,Medium
HealthTech,Pune,Series A,2015,3,32179809,Tier-2,Medium
FinTech,Delhi,Series A,2019,4,24813555,Tier-1,Large
Logistics,Hyderabad,Series C,2010,3,244077987,Tier-2,Medium
HealthTech,Hyderabad,Pre-Seed,2022,3,1223695,Tier-2,Medium
HealthTech,Pune,Pre-Seed,2016,4,934834,Tier-2,Medium
FinTech,Mumbai,Pre-Seed,2011,1,1424195,Tier-1,Large
HealthTech,Delhi,Series A,2016,1,28454826,Tier-1,Medium
AI,Noida,Seed,2023,4,4356300,Tier-2,Large
EdTech,Delhi,Pre-Seed,2013,3,1024952,Tier-1,Small
AgriTech,Noida,Seed,2018,3,5098955,Tier-2,Small
EdTech,Mumbai,Pre-Seed,2014,4,1910972,Tier-1,Small
FinTech,Pune,Seed,2010,4,6372698,Tier-2,Large
E-commerce,Pune,Series C,2021,5,748537619,Tier-2,Large
AgriTech,Delhi,Series A,2020,1,28279214,Tier-1,Small
FinTech,Pune,Pre-Seed,2013,3,586483,Tier-2,Large
Logistics,Chennai,Seed,2020,3,9449687,Tier-2,Medium
E-commerce,Chennai,Pre-Seed,2022,3,1923593,Tier-2,Large
EdTech,Noida,Series A,2013,3,45703063,Tier-2,Small
FinTech,Mumbai,Seed,2021,4,2033750,Tier-1,Large
Logistics,Hyderabad,Series C,2013,1,576475897,Tier-2,Medium
AgriTech,Chennai,Series A,2021,5,47698153,Tier-2,Small
AgriTech,Noida,Seed,2012,4,6181179,Tier-2,Small
SaaS,Pune,Series B,2012,3,93533570,Tier-2,Large
Logistics,Mumbai,Series A,2019,1,40529125,Tier-1,Medium
AI,Noida,Pre-Seed,2014,1,1263744,Tier-2,Large
HealthTech,Noida,Seed,2014,2,8435532,Tier-2,Medium
E-commerce,Chennai,Series A,2020,4,29802120,Tier-2,Large
Logistics,Bangalore,Seed,2011,1,3206272,Tier-1,Medium
SaaS,Mumbai,Pre-Seed,2019,4,822060,Tier-1,Large
HealthTech,Delhi,Pre-Seed,2021,1,1676292,Tier-1,Medium
HealthTech,Noida,Seed,2019,1,8818122,Tier-2,Medium
FinTech,Chennai,Pre-Seed,2022,5,1864726,Tier-2,Large
HealthTech,Delhi,Series B,2018,2,192559905,Tier-1,Medium
AI,Mumbai,Series A,2012,4,16734528,Tier-1,Large
AgriTech,Chennai,Series A,2013,3,46242500,Tier-2,Small
SaaS,Delhi,Series A,2011,5,25702484,Tier-1,Large
HealthTech,Hyderabad,Series A,2017,3,39020036,Tier-2,Medium
FinTech,Noida,Series C,2016,5,544076931,Tier-2,Large
AI,Hyderabad,Seed,2012,1,4916799,Tier-2,Large
EdTech,Bangalore,Series A,2020,2,29062753,Tier-1,Small
AgriTech,Pune,Seed,2020,4,2783934,Tier-2,Small
AgriTech,Mumbai,Series B,2014,1,106183873,Tier-1,Small
SaaS,Pune,Series B,2021,3,121638586,Tier-2,Large
AgriTech,Pune,Series B,2010,2,183564739,Tier-2,Small
HealthTech,Delhi,Pre-Seed,2021,3,962742,Tier-1,Medium
FinTech,Bangalore,Seed,2015,4,2111822,Tier-1,Large
AgriTech,Mumbai,Pre-Seed,2019,3,965899,Tier-1,Small
AgriTech,Hyderabad,Seed,2015,2,9966773,Tier-2,Small
EdTech,Pune,Seed,2021,4,4815460,Tier-2,Small
EdTech,Delhi,Seed,2014,1,4520257,Tier-1,Small
E-commerce,Pune,Series A,2018,1,27106780,Tier-2,Large
AI,Chennai,Seed,2013,2,6510037,Tier-2,Large
HealthTech,Hyderabad,Series B,2011,2,155207702,Tier-2,Medium
AgriTech,Pune,Pre-Seed,2021,2,1549522,Tier-2,Small
Logistics,Chennai,Seed,2016,3,4655255,Tier-2,Medium
AgriTech,Chennai,Series A,2014,1,35356307,Tier-2,Small
FinTech,Delhi,Series A,2016,1,20471795,Tier-1,Large
E-commerce,Delhi,Pre-Seed,2016,1,1613867,Tier-1,Large
AI,Chennai,Series B,2016,4,50502049,Tier-2,Large
Logistics,Bangalore,Series A,2012,5,30302596,Tier-1,Medium
E-commerce,Pune,Series B,2022,2,135348986,Tier-2,Large
SaaS,Chennai,Series B,2014,4,80337542,Tier-2,Large
AI,Chennai,Seed,2022,5,5506156,Tier-2,Large
AgriTech,Delhi,Series B,2010,2,158358222,Tier-1,Small
AgriTech,Pune,Series B,2015,5,91506873,Tier-2,Small
AI,Mumbai,Series C,2013,1,585846836,Tier-1,Large
AgriTech,Hyderabad,Series B,2011,5,177524056,Tier-2,Small
HealthTech,Delhi,Series B,2012,2,72417233,Tier-1,Medium
AI,Pune,Seed,2012,4,5595479,Tier-2,Large
E-commerce,Pune,Pre-Seed,2023,2,1989495,Tier-2,Large
AI,Noida,Series B,2010,5,168071646,Tier-2,Large
Logistics,Bangalore,Series A,2016,5,47087881,Tier-1,Medium
AgriTech,Hyderabad,Seed,2019,2,4755843,Tier-2,Small
HealthTech,Delhi,Seed,2023,1,2001990,Tier-1,Medium
HealthTech,Delhi,Series A,2012,2,42509430,Tier-1,Medium
SaaS,Mumbai,Seed,2016,2,6914756,Tier-1,Large
E-commerce,Noida,Pre-Seed,2019,5,1644386,Tier-2,Large
EdTech,Noida,Pre-Seed,2019,3,1815703,Tier-2,Small
EdTech,Bangalore,Series A,2021,5,27331647,Tier-1,Small
AI,Noida,Seed,2018,5,8436726,Tier-2,Large
SaaS,Bangalore,Seed,2022,5,3802439,Tier-1,Large
FinTech,Pune,Series A,2022,5,11993107,Tier-2,Large
AI,Pune,Series A,2015,1,26870383,Tier-2,Large
SaaS,Delhi,Pre-Seed,2017,4,1718597,Tier-1,Large
E-commerce,Mumbai,Pre-Seed,2020,2,1508742,Tier-1,Large
E-commerce,Delhi,Series A,2020,2,38739799,Tier-1,Large
E-commerce,Noida,Series A,2010,3,15821752,Tier-2,Large
E-commerce,Chennai,Pre-Seed,2017,1,1667601,Tier-2,Large
E-commerce,Pune,Seed,2017,3,5768629,Tier-2,Large
SaaS,Chennai,Series B,2021,2,115283239,Tier-2,Large
SaaS,Noida,Series B,2012,3,152564170,Tier-2,Large
HealthTech,Mumbai,Seed,2015,5,9094489,Tier-1,Medium
Logistics,Delhi,Pre-Seed,2023,5,1085852,Tier-1,Medium
EdTech,Pune,Seed,2023,2,8434696,Tier-2,Small
AgriTech,Mumbai,Pre-Seed,2023,3,817315,Tier-1,Small
E-commerce,Delhi,Pre-Seed,2015,5,1919927,Tier-1,Large
FinTech,Delhi,Seed,2016,1,7476619,Tier-1,Large
AgriTech,Chennai,Series A,2012,1,20470630,Tier-2,Small
SaaS,Hyderabad,Pre-Seed,2019,2,1304976,Tier-2,Large
FinTech,Noida,Series B,2010,4,58729451,Tier-2,Large
FinTech,Bangalore,Series A,2022,4,38666246,Tier-1,Large
FinTech,Pune,Series A,2018,3,45772335,Tier-2,Large
HealthTech,Bangalore,Series C,2015,2,351864086,Tier-1,Medium
SaaS,Mumbai,Series A,2014,2,34818255,Tier-1,Large
FinTech,Bangalore,Series B,2011,5,178248707,Tier-1,Large
E-commerce,Chennai,Seed,2013,5,7524849,Tier-2,Large
AI,Hyderabad,Pre-Seed,2014,1,835163,Tier-2,Large
FinTech,Pune,Seed,2019,1,5616321,Tier-2,Large
HealthTech,Noida,Seed,2013,2,9956980,Tier-2,Medium
AgriTech,Delhi,Pre-Seed,2019,5,1815040,Tier-1,Small
SaaS,Delhi,Series A,2013,5,17814325,Tier-1,Large
Logistics,Noida,Pre-Seed,2020,2,687373,Tier-2,Medium
HealthTech,Chennai,Series A,2015,1,38091885,Tier-2,Medium
FinTech,Pune,Seed,2013,5,6794239,Tier-2,Large
SaaS,Bangalore,Series A,2022,4,34785550,Tier-1,Large
AI,Noida,Seed,2021,3,8487419,Tier-2,Large
FinTech,Delhi,Series C,2018,1,521791258,Tier-1,Large
HealthTech,Bangalore,Seed,2021,4,2468439,Tier-1,Medium
EdTech,Chennai,Series C,2011,2,393594596,Tier-2,Small
E-commerce,Delhi,Pre-Seed,2014,2,1286873,Tier-1,Large
Logistics,Mumbai,Series A,2023,3,31095324,Tier-1,Medium
AgriTech,Hyderabad,Seed,2012,5,9070519,Tier-2,Small
HealthTech,Bangalore,Series B,2017,4,194071646,Tier-1,Medium
SaaS,Noida,Series A,2023,5,25181801,Tier-2,Large
Logistics,Pune,Series B,2012,4,79579966,Tier-2,Medium
Logistics,Bangalore,Pre-Seed,2017,2,1629789,Tier-1,Medium
Logistics,Bangalore,Series B,2017,2,92663356,Tier-1,Medium
FinTech,Bangalore,Pre-Seed,2011,5,1433938,Tier-1,Large
E-commerce,Noida,Pre-Seed,2020,5,1977461,Tier-2,Large
FinTech,Chennai,Pre-Seed,2022,4,1274380,Tier-2,Large
SaaS,Chennai,Seed,2019,3,4756324,Tier-2,Large
FinTech,Pune,Series A,2022,2,26426451,Tier-2,Large
EdTech,Chennai,Pre-Seed,2016,4,1481200,Tier-2,Small
E-commerce,Noida,Pre-Seed,2020,1,1251702,Tier-2,Large
E-commerce,Pune,Series A,2015,5,28940499,Tier-2,Large
SaaS,Pune,Series C,2020,2,647925795,Tier-2,Large
AgriTech,Chennai,Series A,2010,3,22235542,Tier-2,Small
EdTech,Delhi,Series A,2011,3,17981116,Tier-1,Small
HealthTech,Chennai,Series A,2013,1,43472512,Tier-2,Medium
FinTech,Delhi,Series A,2011,5,40009426,Tier-1,Large
AI,Mumbai,Series C,2014,5,211833926,Tier-1,Large
FinTech,Chennai,Seed,2012,4,9897583,Tier-2,Large
Logistics,Mumbai,Seed,2015,1,4910717,Tier-1,Medium
FinTech,Chennai,Series B,2018,3,128962350,Tier-2,Large
HealthTech,Mumbai,Series C,2023,3,259721215,Tier-1,Medium
FinTech,Hyderabad,Pre-Seed,2019,1,1617419,Tier-2,Large
EdTech,Mumbai,Series A,2016,1,13875081,Tier-1,Small
EdTech,Delhi,Series A,2023,3,25779773,Tier-1,Small
E-commerce,Bangalore,Seed,2014,1,5825955,Tier-1,Large
SaaS,Pune,Seed,2010,1,4516901,Tier-2,Large
AgriTech,Mumbai,Series A,2010,5,28431716,Tier-1,Small
AI,Bangalore,Seed,2010,1,5677992,Tier-1,Large
Logistics,Noida,Seed,2012,3,5609386,Tier-2,Medium
FinTech,Hyderabad,Series C,2016,2,304729798,Tier-2,Large
FinTech,Hyderabad,Series A,2022,3,13743944,Tier-2,Large
HealthTech,Noida,Series B,2018,5,187182136,Tier-2,Medium
SaaS,Noida,Series B,2023,1,164095765,Tier-2,Large
EdTech,Noida,Series A,2015,3,40785700,Tier-2,Small
AI,Delhi,Series B,2016,4,169712888,Tier-1,Large
E-commerce,Noida,Seed,2023,2,2637213,Tier-2,Large
EdTech,Delhi,Series A,2020,3,28477856,Tier-1,Small
Logistics,Mumbai,Series A,2012,1,46375061,Tier-1,Medium
SaaS,Chennai,Series A,2020,5,35049257,Tier-2,Large
Logistics,Noida,Pre-Seed,2017,2,501453,Tier-2,Medium
AgriTech,Noida,Seed,2019,4,5669961,Tier-2,Small
E-commerce,Hyderabad,Seed,2015,4,9610343,Tier-2,Large
AgriTech,Bangalore,Series A,2012,1,33905552,Tier-1,Small
HealthTech,Chennai,Series C,2022,4,424509002,Tier-2,Medium
Logistics,Hyderabad,Series C,2021,2,681649878,Tier-2,Medium
HealthTech,Mumbai,Pre-Seed,2011,4,1627301,Tier-1,Medium
FinTech,Noida,Seed,2018,1,9009200,Tier-2,Large
AgriTech,Hyderabad,Pre-Seed,2020,4,1473375,Tier-2,Small
SaaS,Delhi,Seed,2016,5,7792332,Tier-1,Large
Logistics,Bangalore,Series B,2023,2,160374846,Tier-1,Medium
AI,Bangalore,Series B,2019,1,78636945,Tier-1,Large
E-commerce,Delhi,Pre-Seed,2019,1,789537,Tier-1,Large
EdTech,Noida,Seed,2022,5,9430718,Tier-2,Small
SaaS,Noida,Pre-Seed,2018,1,946040,Tier-2,Large
SaaS,Chennai,Seed,2013,3,2166678,Tier-2,Large
HealthTech,Delhi,Series B,2013,1,103080452,Tier-1,Medium
AgriTech,Noida,Series A,2015,4,10973288,Tier-2,Small
Logistics,Bangalore,Series A,2011,1,23442047,Tier-1,Medium
Logistics,Noida,Series A,2019,2,14975503,Tier-2,Medium
FinTech,Mumbai,Seed,2010,1,9683594,Tier-1,Large
FinTech,Noida,Pre-Seed,2023,2,738275,Tier-2,Large
E-commerce,Chennai,Pre-Seed,2019,5,875196,Tier-2,Large
HealthTech,Pune,Series A,2012,3,18455048,Tier-2,Medium
SaaS,Hyderabad,Series B,2021,4,53359869,Tier-2,Large
Logistics,Pune,Series A,2023,3,36496056,Tier-2,Medium
AI,Mumbai,Pre-Seed,2020,3,1873093,Tier-1,Large
HealthTech,Pune,Series A,2014,5,38662810,Tier-2,Medium
E-commerce,Noida,Pre-Seed,2011,1,741861,Tier-2,Large
E-commerce,Chennai,Pre-Seed,2018,3,1177475,Tier-2,Large
HealthTech,Bangalore,Seed,2022,4,9915226,Tier-1,Medium
E-commerce,Bangalore,Seed,2022,2,2653514,Tier-1,Large
HealthTech,Mumbai,Series B,2010,5,51308473,Tier-1,Medium
EdTech,Pune,Series A,2022,5,28282316,Tier-2,Small
HealthTech,Chennai,Pre-Seed,2012,3,1276977,Tier-2,Medium
AgriTech,Hyderabad,Pre-Seed,2014,1,1053425,Tier-2,Small
HealthTech,Noida,Seed,2010,3,7884480,Tier-2,Medium
E-commerce,Pune,Pre-Seed,2013,2,1392758,Tier-2,Large
Logistics,Pune,Seed,2019,3,2647460,Tier-2,Medium
AgriTech,Hyderabad,Series A,2010,1,10210719,Tier-2,Small
E-commerce,Delhi,Pre-Seed,2020,5,1801557,Tier-1,Large
FinTech,Noida,Series B,2020,4,112381466,Tier-2,Large
FinTech,Mumbai,Seed,2021,5,8076207,Tier-1,Large
Logistics,Noida,Seed,2020,1,2342711,Tier-2,Medium
Logistics,Chennai,Seed,2016,5,5675246,Tier-2,Medium
AgriTech,Mumbai,Series A,2010,3,16918351,Tier-1,Small
EdTech,Hyderabad,Seed,2012,3,8530597,Tier-2,Small
Logistics,Chennai,Pre-Seed,2013,3,1654356,Tier-2,Medium
FinTech,Bangalore,Series B,2013,3,176043578,Tier-1,Large
HealthTech,Bangalore,Pre-Seed,2023,1,1878735,Tier-1,Medium
E-commerce,Noida,Series B,2022,2,185802794,Tier-2,Large
FinTech,Chennai,Pre-Seed,2016,3,546944,Tier-2,Large
FinTech,Mumbai,Series A,2014,5,28516997,Tier-1,Large
EdTech,Mumbai,Seed,2020,1,6072936,Tier-1,Small
AgriTech,Bangalore,Seed,2017,1,6252524,Tier-1,Small
AgriTech,Bangalore,Pre-Seed,2012,4,1051688,Tier-1,Small
SaaS,Hyderabad,Pre-Seed,2023,3,977710,Tier-2,Large
EdTech,Chennai,Series A,2017,5,39267335,Tier-2,Small
HealthTech,Mumbai,Series B,2020,2,70092425,Tier-1,Medium
AgriTech,Hyderabad,Seed,2020,2,2820881,Tier-2,Small
E-commerce,Mumbai,Seed,2022,5,7544985,Tier-1,Large
Logistics,Bangalore,Pre-Seed,2018,1,1268771,Tier-1,Medium
EdTech,Chennai,Series A,2023,5,29773096,Tier-2,Small
Logistics,Delhi,Seed,2018,4,9867591,Tier-1,Medium
FinTech,Chennai,Pre-Seed,2018,1,1136760,Tier-2,Large
E-commerce,Pune,Series A,2023,4,18693251,Tier-2,Large
E-commerce,Delhi,Seed,2022,2,7983082,Tier-1,Large
FinTech,Noida,Pre-Seed,2010,3,1994017,Tier-2,Large
EdTech,Noida,Pre-Seed,2023,4,1024019,Tier-2,Small
FinTech,Hyderabad,Series A,2018,5,15137542,Tier-2,Large
Logistics,Delhi,Pre-Seed,2017,3,890807,Tier-1,Medium
SaaS,Delhi,Series B,2022,2,120184053,Tier-1,Large
E-commerce,Hyderabad,Seed,2011,5,8845190,Tier-2,Large
AI,Chennai,Pre-Seed,2012,4,1478019,Tier-2,Large
AI,Hyderabad,Series A,2016,5,24001408,Tier-2,Large
Logistics,Pune,Seed,2012,3,7773085,Tier-2,Medium
HealthTech,Bangalore,Seed,2011,5,9023855,Tier-1,Medium
AgriTech,Noida,Seed,2013,4,9539263,Tier-2,Small
FinTech,Bangalore,Pre-Seed,2018,1,1615617,Tier-1,Large
FinTech,Noida,Series A,2011,2,39574713,Tier-2,Large
HealthTech,Delhi,Seed,2010,2,3670460,Tier-1,Medium
HealthTech,Hyderabad,Series A,2019,3,19867712,Tier-2,Medium
Logistics,Hyderabad,Series A,2023,5,21041766,Tier-2,Medium
Logistics,Hyderabad,Series A,2016,5,29619102,Tier-2,Medium
HealthTech,Pune,Series A,2023,4,38068541,Tier-2,Medium
E-commerce,Pune,Series A,2020,2,14876455,Tier-2,Large
Logistics,Chennai,Seed,2010,2,2146023,Tier-2,Medium
SaaS,Mumbai,Seed,2015,3,8193729,Tier-1,Large
Logistics,Noida,Pre-Seed,2023,2,1024908,Tier-2,Medium
FinTech,Mumbai,Series A,2014,4,33059388,Tier-1,Large
Logistics,Mumbai,Series A,2020,4,49334760,Tier-1,Medium
E-commerce,Noida,Pre-Seed,2017,2,556101,Tier-2,Large
HealthTech,Chennai,Series B,2012,3,137588701,Tier-2,Medium
FinTech,Hyderabad,Series A,2012,4,10291023,Tier-2,Large
Logistics,Mumbai,Seed,2010,3,7456090,Tier-1,Medium
E-commerce,Hyderabad,Pre-Seed,2013,5,1045848,Tier-2,Large
SaaS,Delhi,Seed,2019,2,9329699,Tier-1,Large
Logistics,Mumbai,Series A,2019,5,44678230,Tier-1,Medium
E-commerce,Delhi,Pre-Seed,2015,5,1559703,Tier-1,Large
SaaS,Chennai,Seed,2014,2,8607797,Tier-2,Large
HealthTech,Bangalore,Series C,2016,5,656055381,Tier-1,Medium
Logistics,Pune,Series A,2021,2,22484390,Tier-2,Medium
